"N.Registro";"Tipo";"Categoría";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Central Reservas";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"05/000020";"Pensión";"Categoría única";"";"LA FONDA DEL COMERCIO (BAJA TEMPORAL)";"PRINCIPAL DE LA MORERIA, 2";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920300042";"";"";"";"";"";"";"33";"";"";"";
"05/000021";"Pensión";"Categoría única";"";"LA EXTREMEÑA (CIERRE TEMPORAL)";"AVENIDA DE MADRID,  16";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920226463";"";"";"";"";"";"";"19";"";"";"";
"05/000023";"Pensión";"Categoría única";"";"FONDA";"Avenida RAMON Y CAJAL 75";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920237550";"672223871";"";"";"";"";"";"10";"";"";"";
"05/000024";"Hostal Residencia";"1ª - 1 Estrella";"";"EL CASTILLO";"Calle CTRA. CANDELEDA, 2";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920370091";"";"";"hostalelcastillo@gmail.com";"";"";"";"24";"";"";"";
"05/000034";"Hostal";"1ª - 1 Estrella";"";"EL REFUGIO DE GREDOS";"Calle PAJIZO, S/N";"05635";"Ávila";"Navarredonda de Gredos";"NAVARREDONDA DE GREDOS";"NAVARREDONDA DE GREDOS";"920348047";"608928454";"650901899";"HOSTALREFUGIODEGREDOS@WANADOO.ES";"WWW.REFUGIODEGREDOS.COM";"";"";"18";"-5,142938";"40,362561";"";
"05/000038";"Hotel";"4ª - 4 Estrellas";"";"CUATRO POSTES";"Carretera DE SALAMANCA 23";"05002";"Ávila";"Ávila";"AVILA";"AVILA";"920220000";"669403083";"";"hotel4p@futurnet.es";"www.hotel-cuatropostes.es";"";"";"266";"-4,711711";"40,66182";"Si";
"05/000039";"Hotel Residencia";"2ª - 2 Estrellas";"";"REY NIÑO";"PLAZA JOSE TOME, 1";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920255210";"920257450";"";"";"";"";"";"39";"";"";"";
"05/000042";"Hostal";"1ª - 1 Estrella";"";"BURGUIYO";"Carretera N-403,  KM. 102";"05110";"Ávila";"Barraco (El)";"BARRACO (EL)";"BARRACO (EL)";"920281139";"";"";"";"";"";"";"14";"-4,582318";"40,451088";"";
"05/000047";"Hotel";"4ª - 4 Estrellas";"";"PALACIO DE VALDERRABANOS";"Plaza DE LA CATEDRAL 9";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920211023";"617960035";"";"reservas@hotelpalaciovalderrabanos.com";"www.hotelpalaciovalderrabanos.com";"";"";"195";"-4,698058";"40,655781";"Si";
"05/000048";"Hostal";"1ª - 1 Estrella";"";"SIERRAMAR";"Calle REAL 33";"05293";"Ávila";"Peguerinos";"PEGUERINOS";"PEGUERINOS";"616337496";"";"";"";"";"";"";"9";"-4,230976";"40,626608";"";
"05/000050";"Hotel";"3ª - 3 Estrellas";"";"SANTA TERESA";"HORNOS CALEROS, 25";"05003";"Ávila";"Ávila";"AVILA";"AVILA";"920221266";"920220211";"";"";"";"";"";"33";"-4,683243";"40,653327";"";
"05/000051";"Pensión";"Categoría única";"";"MADRIGAL";"Carretera CTRA. PEÑARANDA, 10";"05220";"Ávila";"Madrigal de las Altas Torres";"MADRIGAL DE LAS ALTAS TORRES";"MADRIGAL DE LAS ALTAS TORRES";"920320109";"";"";"";"";"";"";"28";"-5,002375";"41,090946";"";
"05/000052";"Hostal";"2ª - 2 Estrellas";"";"GRAN DUQUE";"Calle PASTELERIA, 19";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920360830";"920360277";"";"informacion@hostalgranduque.net";"www.hostalgranduque.net";"";"";"46";"";"";"Si";
"05/000053";"Hostal";"1ª - 1 Estrella";"";"LA PASTORA";"Calle CAMINO DE LA LUZ, S/N";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920382127";"660506923";"";"";"";"";"";"36";"-5,244173";"40,161994";"";
"05/000055";"Hostal Residencia";"1ª - 1 Estrella";"";"CAPRA HISPANICA";"Carretera CARRETERA DE AVILA, 40";"05633";"Ávila";"San Juan de Gredos";"NAVACEPEDA DE TORMES";"NAVACEPEDA DE TORMES";"920349177";"";"";"info@caprahispanicahostal.com";"caprahispanicahostal.com";"";"";"35";"-5,251265";"40,362427";"";
"05/000057";"Hostal";"1ª - 1 Estrella";"";"PRADOS ABIERTOS";"Carretera  NACIONAL 502, KM. 72";"05410";"Ávila";"Mombeltrán";"MOMBELTRAN";"*DISEMINADO*";"608624764";"";"";"";"";"";"";"14";"-5,034022";"40,231097";"";
"05/000060";"Hotel";"2ª - 2 Estrellas";"";"SAN ANTONIO";"PASEO DE LA ESTACION, 23";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920222979";"920227689";"";"";"";"";"";"82";"-4,684974";"40,657133";"";
"05/000061";"Hostal";"1ª - 1 Estrella";"";"TIGARAY";"Calle PASEO DE RECOLETOS, 6";"05270";"Ávila";"Tiemblo (El)";"TIEMBLO (EL)";"TIEMBLO (EL)";"918625499";"918625195";"";"lolaruiz@hostaltigaray.e.telefonica.net";"";"";"";"19";"-4,498463";"40,412636";"";
"05/000062";"Hotel Residencia";"2ª - 2 Estrellas";"";"FRAY JUAN GIL";"AVDA. DEPORTES, 2";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920300800";"";"";"hotelfrayjuangil@hotmail.com";"www.hotelfrayjuangil.com";"";"";"56";"";"";"Si";
"05/000064";"Hotel";"3ª - 3 Estrellas";"";"TOROS DE GUISANDO";"Avenida AVDA. MADRID, S/N";"05270";"Ávila";"Tiemblo (El)";"TIEMBLO (EL)";"TIEMBLO (EL)";"600508040";"";"";"correo@torosdeguisando.com";"www.torosdeguisando.com";"";"";"46";"-4,49457";"40,410243";"Si";
"05/000066";"Hostal";"2ª - 2 Estrellas";"";"BELLAS";"Calle CABALLEROS, 19";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920212910";"";"";"reservas@hostalbellas.comadministracion@hostalbellas.comhostalbellas@hotmail.com";"www.hostalbellas.com";"";"";"30";"";"";"";
"05/000069";"Hostal";"2ª - 2 Estrellas";"";"HERMANOS CRUZ";"Carretera CTRA.N-501 AVILA-SALAMANCA KM 33";"05309";"Ávila";"Crespos";"CHAHERRERO";"CHAHERRERO";"674816080";"";"";"";"";"";"";"25";"-4,972583";"40,854527";"";
"05/000070";"Hostal";"1ª - 1 Estrella";"";"MIRA DE GREDOS";"Carretera AV-941 - KM. 16,5";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349023";"677419307";"";"info@lamiradegredos.com";"www.lamiradegredos.com";"";"";"30";"-5,173207";"40,350717";"";
"05/000071";"Hostal";"1ª - 1 Estrella";"";"MESON EVA";"Calle CTRA. MADRID-CORUÑA, KM. 103";"05290";"Ávila";"Sanchidrián";"SANCHIDRIAN";"SANCHIDRIAN";"920318043";"";"";"";"";"";"";"32";"-4,578869";"40,89269";"";
"05/000075";"Hotel";"3ª - 3 Estrellas";"";"DON CARMELO";"PASEO DE DON CARMELO, 30";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920228050";"";"";"informacion@hoteldoncarmelo.es";"www.hoteldoncarmelo.es";"";"";"174";"-4,684015";"40,65809";"";
"05/000077";"Pensión";"Categoría única";"";"EL VALLE (BAJA TEMPORAL)";"C/ CALZADA, 47";"05350";"Ávila";"San Pedro del Arroyo";"SAN PEDRO DEL ARROYO";"SAN PEDRO DEL ARROYO";"920240230";"";"";"";"";"";"";"17";"";"";"";
"05/000078";"Hostal";"1ª - 1 Estrella";"";"CIELO DE GREDOS";"Carretera CAMPING 52 B";"05417";"Ávila";"Guisando";"GUISANDO";"GUISANDO";"699756924";"";"";"asesoria.aigs@homail.com";"";"";"";"11";"-5,142333";"40,224935";"Si";
"05/000079";"Hostal Residencia";"2ª - 2 Estrellas";"";"ALCANTARA";"Calle ESTEBAN DOMINGO, 11";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920225003";"";"";"halcantara@tpi.infomail.es";"www.paginasamarillas.es/on/line/halcantara";"";"";"14";"";"";"";
"05/000080";"Hotel";"1ª - 1 estrella";"";"LA CASONA";"CALLEJA, S/N";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920360071";"";"";"";"";"";"";"50";"";"";"";
"05/000081";"Hotel";"3ª - 3 Estrellas";"";"EL BODEGÓN";"PZA. CONDESTABLE DAVALOS, 2";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920371379";"";"";"LosGalayos@Lycosmail.com";"http://members.es.tripod.de/hgalayos";"";"";"46";"";"";"Si";
"05/000082";"Hostal";"2ª - 2 Estrellas";"";"CASA FELIPE";"Plaza DEL MERCADO CHICO 12";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920213924";"";"";"";"";"";"";"20";"";"";"Si";
"05/000085";"Hostal Residencia";"1ª - 1 Estrella";"";"SIERRA DE GREDOS";"Avenida PINTOR MARTINEZ VAZQUEZ 1";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920371635";"687405440";"";"";"";"";"";"13";"";"";"";
"05/000086";"Hostal";"2ª - 2 Estrellas";"";"LA PARAMERA";"AVDA. GREDOS, 60";"05112";"Ávila";"Navalmoral";"NAVALMORAL";"NAVALMORAL";"695854533";"659527486";"";"";"";"";"";"19";"";"";"";
"05/000087";"Hostal";"2ª - 2 Estrellas";"";"LOS CASTAÑUELOS";"CASTAÑUELOS, Nº 1";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920380684";"";"";"informacion@loscastañuelos.com";"";"";"";"27";"";"";"";
"05/000090";"Hotel";"3ª - 3 Estrellas";"";"DRACO'S";"Calle SERRALLO, 51";"05260";"Ávila";"Cebreros";"CEBREROS";"CEBREROS";"918630617";"918630529";"";"info@hoteldracos.com; felix@hoteldracos.com";"www.hoteldracos.com";"";"";"61";"";"";"Si";
"05/000093";"Hotel Residencia";"2ª - 2 Estrellas";"";"PALACIO DE MONJARAZ";"BRACAMONTE, 6";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920332070";"627531154";"";"palaciodemonjaraz@gmail.com";"www.palaciodemonjaraz.com";"";"";"36";"";"";"";
"05/000094";"Hostal";"1ª - 1 Estrella";"";"MAINZ";"Avenida CASTILLA Y LEON 27";"05440";"Ávila";"Piedralaves";"PIEDRALAVES";"PIEDRALAVES";"918665775";"655580923";"";"hostalmainz@mundomochila@mundomochila.com";"";"";"";"29";"-4,701107";"40,315883";"Si";
"05/000095";"Hostal Residencia";"2ª - 2 Estrellas";"";"CANDELEDA";"Avenida RAMON Y CAJAL 3";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"600630351";"";"";"";"";"";"";"22";"";"";"";
"05/000096";"Hostal Residencia";"1ª - 1 Estrella";"";"JESUS";"Calle C/ CAMARGO, 16";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920360848";"";"";"";"";"";"";"11";"-5,327005";"40,462479";"";
"05/000097";"Hostal";"1ª - 1 Estrella";"";"DEL CAMPO";"EUSEBIO REVILLA, 9";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920302496";"609810666";"";"hostaldelcampo@gmail.com";"";"";"";"32";"";"";"";
"05/000099";"Hostal";"2ª - 2 Estrellas";"";"LAS CRUCERAS";"Poblado LAS CRUCERAS 5";"05278";"Ávila";"Barraco (El)";"BARRACO (EL)";"BARRACO (EL)";"636263234";"";"";"karen.cruceras@gmail.com";"";"";"";"15";"-4,5621505";"40,4194508";"";
"05/000100";"Hostal";"2ª - 2 Estrellas";"";"SAN SEGUNDO";"C/ SAN SEGUNDO, 28";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920252590";"";"";"hotel@hsansegundo.com";"";"";"";"27";"";"";"";
"05/000101";"Hostal Residencia";"1ª - 1 Estrella";"";"AVENIDA";"Avenida CONSTITUCIÓN 48";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920370988";"681385987";"";"hostal@hostal-avenida.com";"";"";"";"36";"";"";"";
"05/000102";"Hostal Residencia";"2ª - 2 Estrellas";"";"LE VINTAGE";"COMUNEROS DE CASTILLA Nº 3";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920251475";"615433212";"";"hostalsanjuan@livel.com";"";"";"";"25";"";"";"";
"05/000103";"Hostal";"2ª - 2 Estrellas";"";"SANCHO DE ESTRADA";"Calle CASTILLO DE VILLAVICIOSA";"05130";"Ávila";"Solosancho";"VILLAVICIOSA";"VILLAVICIOSA";"920291082";"";"";"castillo@hotelesmayoral.com";"www.hotelesmayoral.com";"";"";"27";"";"";"";
"05/000104";"Hostal Residencia";"1ª - 1 Estrella";"";"ALFONSO";"Avenida DE LA CONSTITUCION,  8";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349006";"625418728";"";"alfonsomartin_3@hotmail.com";"";"";"";"25";"-5,175931";"40,356256";"";
"05/000105";"Hostal";"2ª - 2 Estrellas";"";"MARJI";"Calle CALVO SOTELO 64";"05410";"Ávila";"Mombeltrán";"MOMBELTRAN";"MOMBELTRAN";"920386031";"";"";"";"";"";"";"19";"-5,020757";"40,257637";"";
"05/000106";"Hotel";"2ª - 2 Estrellas";"";"EL MILANO REAL";"Calle DEL TOLEO S/N";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349108";"627576359";"";"info@elmilanoreal.com";"www.elmilanoreal.com";"";"";"39";"-5,173712";"40,354802";"Si";
"05/000107";"Hotel";"4ª - 4 Estrellas";"";"PALACIO DE LOS VELADA";"Plaza DE LA CATEDRAL 10";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920255100";"";"";"palaciodelosvelada@veladahoteles.com";"www.veladahoteles.com";"";"";"270";"-4,698213";"40,65622";"";
"05/000109";"Hostal";"1ª - 1 Estrella";"";"J. J.";"Carretera DEL BARCO S/N";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349058";"920349058";"";"nuriajimenez@hotmail.com";"";"";"";"28";"-5,175977";"40,355518";"";
"05/000110";"Hotel";"2ª - 2 Estrellas";"";"BARBACEDO";"Carretera AVILA-CASAVIEJA 68";"05461";"Ávila";"Mijares";"MIJARES";"MIJARES";"920385007";"605899784";"";"barbacedo@hotmail.es";"";"";"";"36";"-4,83647";"40,297895";"Si";
"05/000111";"Hotel";"3ª - 3 Estrellas";"";"EXCELSIOR";"Calle ANICETO MARINAS 26";"05230";"Ávila";"Navas del Marqués (Las)";"NAVAS DEL MARQUES (LAS)";"NAVAS DEL MARQUES (LAS)";"918971414";"918972475";"918972228";"reservashotelexcelsior@infornavas.com";"";"";"";"62";"-4,337383";"40,599082";"";
"05/000112";"Hostal Residencia";"2ª - 2 Estrellas";"";"DON DIEGO";"Calle MARQUES DE CANALES Y CHOZAS, 5";"05000";"Ávila";"Ávila";"AVILA";"AVILA";"920255475";"651827940";"";"";"";"";"";"22";"-4,69951";"40,6572";"";
"05/000114";"Hostal";"2ª - 2 Estrellas";"";"CHICO";"Carretera DE LA ADRADA, 74 (LOS GUIJUELOS Nº 1)";"05420";"Ávila";"Sotillo de la Adrada";"SOTILLO DE LA ADRADA";"SOTILLO DE LA ADRADA";"918661037";"617720733";"";"peryking2008@hotmail.com";"";"";"";"14";"-4,59166";"40,294027";"Si";
"05/000115";"Hostal Residencia";"1ª - 1 Estrella";"";"ESTACION";"Avenida AVDA. ESTACIÓN (ESTACION RENFE)";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920250093";"";"";"";"";"";"";"44";"-4,68334";"40,657029";"";
"05/000117";"Hostal Residencia";"1ª - 1 Estrella";"";"EL PINAR DE AVILA";"Polígono LAS HERVENCIAS - CALLE JORGE RUIZ DE SANTAYANA, 34";"05004";"Ávila";"Ávila";"AVILA";"AVILA";"920254675";"920255071";"";"";"";"";"";"67";"-4,685367";"40,667293";"Si";
"05/000118";"Hostal Residencia";"1ª - 1 Estrella";"";"LA TABERNA";"Calle CARRELLANA, 33";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920370395";"";"";"juliojaimearenas@hotmail.es";"";"";"";"11";"";"";"";
"05/000119";"Hostal";"2ª - 2 Estrellas";"";"LA POSADA";"ESQUINILLA, 9";"05461";"Ávila";"Mijares";"MIJARES";"PINOSA";"920385347";"";"";"";"";"";"";"9";"-4,838327";"40,297013";"";
"05/000120";"Hostal";"2ª - 2 Estrellas";"";"LA ESTACION";"Carretera SANCHIDRIAN 22";"05164";"Ávila";"Riocabado";"RIOCABADO";"RIOCABADO";"647300440";"";"";"dn3@hotmail.es";"";"";"";"18";"-4,807587";"40,833963";"Si";
"05/000121";"Hostal";"2ª - 2 Estrellas";"";"LAS FUENTES";"Polígono POL. IND. TIERRAS DE AREVALO";"05200";"Ávila";"Arévalo";"AREVALO";"AREVALO";"920303709";"920303767";"";"";"";"";"";"94";"-4,733712";"41,078268";"";
"05/000124";"Pensión";"Categoría única";"";"AVENIDA";"AVDA. CASTILLA Y LEON, 34";"05430";"Ávila";"Adrada (La)";"ADRADA (LA)";"";"918671278";"";"";"";"";"";"";"8";"";"";"";
"05/000125";"Hotel Residencia";"4ª - 4 Estrellas";"";"EXE REINA ISABEL";"Paseo DE LA ESTACION 17";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920251022";"615299582";"";"jrecepcion@exereinaisabel.com";"";"";"";"114";"-4,685621";"40,657111";"";
"05/000181";"Hotel";"4ª - 4 Estrellas";"";"PARADOR RAIMUNDO DE BORGOÑA";"Calle MARQUES DE CANALES Y CHOZAS Nº 2";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920211340";"";"";"avila@parador.es";"www.parador.es";"Si";"";"116";"-4,701889";"40,657965";"Si";
"05/000182";"Hotel";"4ª - 4 Estrellas";"4#Con historia#|";"PARADOR DE GREDOS";"Carretera AV-941, KM. 10";"05635";"Ávila";"Navarredonda de Gredos";"NAVARREDONDA DE GREDOS";"*DISEMINADO*";"920348048";"";"";"oficina.gredos@parador.es";"www.parador.es";"Si";"";"140";"-5,113075";"40,354914";"";
"24/000001";"Hostal";"2ª - 2 Estrellas";"";"OREJAS";"Calle VILLAFRANCA, 8  2";"24001";"León";"León";"LEON";"LEON";"987252909";"";"";"reservas@hostal-orejas.es";"www.hostal-orejas.es";"";"";"78";"";"";"Si";
"24/000003";"Hostal";"1ª - 1 Estrella";"";"ESPAÑA";"Calle CARMEN, 3";"24001";"León";"León";"LEON";"LEON";"987236014";"";"";"";"";"";"";"19";"-5,576058";"42,597257";"";
"24/000004";"Hotel";"3ª - 3 Estrellas";"";"ALDA CENTRO PONFERRADA";"Avenida PUEBLA 44";"24402";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987411550";"";"";"CENTROPONFERRADA@ALDAHOTELS.COM";"WWW.ALDAHOTELS.COM";"";"";"63";"";"";"";
"24/000005";"Hostal";"1ª - 1 Estrella";"";"PEÑASANTA";"Calle GUADALUPE NORIEGA S/N";"24916";"León";"Oseja de Sajambre";"SOTO DE SAJAMBRE";"SOTO DE SAJAMBRE";"987740395";"";"";"";"";"";"";"28";"-5,035682";"43,162944";"Si";
"24/000007";"Hostal";"1ª - 1 Estrella";"";"EZEQUIEL";"Carretera CTRA. DE LA ESTACION, 18";"24680";"León";"Villamanín";"VILLAMANIN DE LA TERCIA";"VILLAMANIN DE LA TERCIA";"987598219";"";"";"";"";"";"";"16";"-5,657352";"42,937164";"";
"24/000008";"Hostal";"2ª - 2 Estrellas";"";"CASA ABASCAL";"EL SALVADOR, S/N";"24915";"León";"Posada de Valdeón";"POSADA DE VALDEON";"POSADA DE VALDEON";"649313367";"605944372";"";"sonia@deporteschorco.com";"";"";"";"47";"";"";"";
"24/000010";"Pensión";"Categoría única";"";"LA MONTAÑESA";"Plaza MAYOR, 10";"24240";"León";"Santa María del Páramo";"SANTA MARIA DEL PARAMO";"SANTA MARIA DEL PARAMO";"987350037";"";"";"";"";"";"";"13";"";"";"";
"24/000011";"Hostal Residencia";"1ª - 1 Estrella";"";"ALVAREZ";"Calle BURGO NUEVO 3  1";"24001";"León";"León";"LEON";"LEON";"987072520";"667687316";"";"hostalalvarezleon@gmail.com";"";"";"";"10";"";"";"";
"24/000013";"Pensión";"Categoría única";"";"MELANY";"PALENCIA, AVENIDA, 4-1º-I";"24009";"León";"León";"LEON";"LEON";"987241075";"";"";"";"";"";"";"13";"-5,580661";"42,595758";"";
"24/000019";"Hostal Residencia";"1ª - 1 Estrella";"";"SAN MARTIN";"Plaza TORRES DE OMAÑA, 1";"24003";"León";"León";"LEON";"LEON";"987875187";"987074186";"";"sanmartinhostal@hotmail.com";"www.sanmartinhostales.com";"";"";"21";"-5,569956";"42,599481";"";
"24/000020";"Hostal Residencia";"1ª - 1 Estrella";"";"OVIEDO";"Avenida ROMA, 26";"24001";"León";"León";"LEON";"LEON";"987222236";"";"";"hostalov@ono.com";"";"";"";"13";"";"";"";
"24/000021";"Hostal Residencia";"2ª - 2 Estrellas";"";"LA PESETA";"Plaza PZA. SAN BARTOLOME, 3";"24700";"León";"Astorga";"ASTORGA";"ASTORGA";"987617275";"";"";"info@restaurantelapeseta.com";"www.restaurantelapeseta.com";"";"";"37";"";"";"";
"24/000024";"Hostal Residencia";"1ª - 1 Estrella";"";"SAN CRISTOBAL";"Carretera MADRID-CORUÑA, KM. 303";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"BAÑEZA (LA)";"987644424";"605801728";"";"INFO@ASESORIATRES.ES";"";"";"";"22";"-5,897459";"42,304505";"";
"24/000027";"Pensión";"Categoría única";"";"LA PALOMA";"Calle EL PUENTE VIEJO, 30";"24430";"León";"Vega de Espinareda";"VEGA DE ESPINAREDA";"VEGA DE ESPINAREDA";"987568748";"";"";"";"";"";"";"9";"";"";"";
"24/000029";"Pensión";"Categoría única";"";"ISABEL";"Carretera SANTANDER, Nº 9";"24913";"León";"Boca de Huérgano";"PORTILLA DE LA REINA";"PORTILLA DE LA REINA";"987740420";"";"";"";"";"";"";"9";"-4,851307";"43,041986";"";
"24/000032";"Hostal Residencia";"1ª - 1 Estrella";"";"ROMA";"Calle ASTORGA, 56";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"BAÑEZA (LA)";"987640589";"";"";"";"";"";"";"38";"";"";"";
"24/000039";"Hostal Residencia";"1ª - 1 Estrella";"";"MODERNO";"Avenida AVDA. CONSTITUCION, 97";"24800";"León";"Cistierna";"CISTIERNA";"CISTIERNA";"987701138";"";"";"";"";"";"";"18";"-5,128257";"42,803521";"";
"24/000040";"Hostal";"1ª - 1 Estrella";"";"CENTRAL";"Avenida ASTORGA 85";"24198";"León";"Valverde de la Virgen";"VIRGEN DEL CAMINO (LA)";"VIRGEN DEL CAMINO (LA)";"987302041";"965943688";"";"hcentral.info@gmail.com";"www.hostalrestaurantecentral.com";"";"";"36";"-5,640148";"42,580422";"";
"24/000041";"Pensión";"Categoría única";"";"CENTRAL";"Carretera VILLABLINO, S/N";"24140";"León";"Villablino";"VILLASECA DE LACIANA";"VILLASECA DE LACIANA";"987483153";"";"";"";"";"";"";"12";"-6,251222";"42,944389";"";
"24/000045";"Hostal";"1ª - 1 Estrella";"";"GARCIA";"Carretera CTRA. MAGDALENA-BELMONTE, KM. 33. LEON-VILLABLINO,";"24144";"León";"San Emiliano";"VILLASECINO";"VILLASECINO";"987594096";"";"";"";"";"";"";"16";"-6,022006";"42,951619";"";
"24/000049";"Hostal Residencia";"1ª - 1 Estrella";"";"LA MADRILEÑA";"Calle ANTOLIN LOPEZ PELAEZ, 4";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987412857";"";"";"";"";"";"";"32";"";"";"";
